Year,DOY,HHMM,u_1[cm3 s-1],u_2[cm3 s-1],u_3[cm3 s-1],u_4[cm3 s-1],u_5[cm3 s-1],u_6[cm3 s-1],u_7[cm3 s-1],u_8[cm3 s-1],u_9[cm3 s-1],u_10[cm3 s-1],u_11[cm3 s-1],u_12[cm3 s-1],u_mean[cm3 s-1],u_mean[mm s-1],u_mean[W m-2],u_mean[kgm-2s-1],u_mean[?],u_mean[mm d-1]
2022,16,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,16,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,16,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,16,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,16,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,16,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,16,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,16,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,16,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,16,620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,16,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,16,720,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,16,750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,16,820,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,16,850,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,16,920,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,16,950,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,16,1020,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,16,1050,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,16,1120,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,16,1150,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,16,1220,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,16,1250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,16,1320,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,16,1350,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,16,1420,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,16,1450,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,16,1520,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,16,1550,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,16,1620,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,16,1650,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,16,1720,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,16,1750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,16,1820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,16,1850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,16,1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,16,1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,16,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,16,2050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,16,2120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,16,2150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,16,2220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,16,2250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,16,2320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,16,2350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,17,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,17,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,17,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,17,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,17,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,17,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,17,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,17,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,17,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,17,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
